Glottocode,ISO,Name_SIL,Language name,Longitude,Latitude,Area_GLOT,Continent_SIL,Country,Status_GLOT,Population_SIL,Family_SIL_Lv1,Family_SIL_Lv2,Family_SIL_Lv3,Family_GLOT_Lv1,Family_GLOT_Lv2,Family_GLOT_Lv3
west1507,hmw,Western Mashan Miao,Western Mashan Hmong,106.122,25.6518,Eurasia,Asia,China (CN),not endangered,14000,Hmong-Mien,Hmongic,NA,Hmong-Mien,Hmongic,Nuclear Hmongic-Ho Ne
west1510,ojw,Western Ojibwa,Western Ojibwa,-102.525,50.5664,North America,Americas,Canada (CA),shifting,10000,Algic,Algonquian,Ojibwa,Algic,Algonquian,Eastern Great Lakes Algonquian
west1511,tqt,Western Totonac,Western Totonac,-97.9486,20.4574,North America,Americas,Mexico (MX),not endangered,1800,Totonacan,Totonac,NA,Totonacan,Totonac,Central Totonacan
west2205,unknow,NA,Western Coastal Tasmanian,145.204,-41.8859,Australia,NA,Australia (AU),extinct,NA,NA,NA,NA,Western Tasmanian,NA,NA
west2354,fry,Western Frisian,Western Frisian,5.86091,53.143,Eurasia,Europe,Netherlands (NL),not endangered,467000,Indo-European,Germanic,Frisian,Indo-European,Germanic,Northwest Germanic
west2356,wep,Westphalien,Westphalien,7.499,51.459,Eurasia,Europe,Germany (DE),threatened,0,Indo-European,Germanic,Low Saxon-Low Franconian,Indo-European,Germanic,Northwest Germanic
west2361,yih,Western Yiddish,Western Yiddish,12.2601,51.6889,Eurasia,Europe,Belgium (BE) / France (FR) / Germany (DE) / Hungary (HU) / Israel (IL) / Netherlands (NL) / Switzerland (CH),shifting,5000,Indo-European,Germanic,High German,Indo-European,Germanic,Northwest Germanic
west2368,bgn,Western Balochi,Western Balochi,62.17,37.83,Eurasia,Asia,"Afghanistan (AF) / Iran, Islamic Republic of (IR) / Pakistan (PK) / Turkmenistan (TM)",not endangered,1120000,Indo-European,Indo-Iranian,Western,Indo-European,Indo-Iranian,Iranian
west2369,pes,Western Farsi,Western Farsi,53.3,32.9,Eurasia,Asia,"Afghanistan (AF) / Azerbaijan (AZ) / Iran, Islamic Republic of (IR) / Iraq (IQ) / Turkey (TR) / Turkmenistan (TM)",not endangered,2.20E+07,Indo-European,Indo-Iranian,Western,Indo-European,Indo-Iranian,Iranian
west2386,pnb,Western Panjabi,Western Panjabi,75.3474,30.0948,Eurasia,Asia,India (IN) / Pakistan (PK),not endangered,6.10E+07,Indo-European,Indo-Iranian,Northwestern zone,Indo-European,Indo-Iranian,Indo-Aryan
west2392,mrj,Hill Mari,Western Mari,46.569,56.22,Eurasia,Europe,Russian Federation (RU),threatened,30000,Uralic,Mari,NA,Uralic,Mari,NA
